ID,Name,Age,Salary,Join Date,City,Email,Purchase
162,Alexander Lawrence,49.0,,08-08-2024,Stephaniechester,alexander_lawrence@example.com,1
163,Kevin Brown,59.0,,01-11-2017,Martinezborough,kevin_brown@example.com,0
164,Albert Martin,37.0,,28-10-2024,South Joshuaside,albert_martin@example.com,1
165,Thomas Yang,44.0,,20-07-2015,Matthewfort,thomas_yang@example.com,0
166,Jason Ortega,44.0,,09-05-2015,Jonesberg,jason_ortega@example.com,1
167,Christopher Williams,32.0,,08-06-2023,East Brandonstad,christopher_williams@example.com,0
168,Rick Hammond,60.0,,09-08-2022,New Blakechester,rick_hammond@example.com,0
169,Allison Mason,33.0,,29-03-2019,North Jasonland,allison_mason@example.com,1
170,Zoe Green,46.0,,27-12-2017,Medinaport,zoe_green@example.com,0
171,Anthony Roberts,37.0,,03-02-2020,Lake Cathyside,anthony_roberts@example.com,0
172,Amanda Bowers,31.0,,29-03-2024,Lake Meganmouth,amanda_bowers@example.com,1
173,Alec Long DDS,48.0,,01-12-2020,Pamelaburgh,alec_long_dds@example.com,0
174,Andrew Moon,,,18-03-2020,Davisberg,andrew_moon@example.com,0
175,Claudia Hoffman,55.0,,20-05-2016,South Danielle,claudia_hoffman@example.com,0
176,nan,53.0,,24-12-2021,West Matthewhaven,unknown@example.com,1
177,Jasmine Farmer,54.0,,17-12-2021,Lake Jameschester,jasmine_farmer@example.com,0
178,Raymond Gonzalez,24.0,,01-08-2023,East Sara,raymond_gonzalez@example.com,0
179,John Smith,39.0,,07-07-2020,Matthewhaven,john_smith@example.com,1
180,nan,32.0,,17-11-2021,Shawnfurt,unknown@example.com,1
181,Kristi Carter,44.0,,04-02-2016,East Michael,kristi_carter@example.com,0
182,Alicia Rodriguez,20.0,,18-11-2020,Mcmillanchester,alicia_rodriguez@example.com,1
183,Keith Stone,43.0,,08-12-2016,Lake Stephenborough,keith_stone@example.com,1
184,James Bryant,27.0,,18-11-2021,Port Eduardohaven,james_bryant@example.com,1
185,Angela Cooper,50.0,,26-10-2021,North Stephanie,angela_cooper@example.com,0
186,George Brown,36.0,,20-02-2023,East Tracy,george_brown@example.com,1
187,Brent Richardson,25.0,,12-06-2019,Huberhaven,brent_richardson@example.com,1
188,Richard Davis,60.0,,06-07-2023,Baileyborough,richard_davis@example.com,0
189,Todd Lynch,26.0,,01-11-2021,Ashleystad,todd_lynch@example.com,0
190,Tara Rodriguez,27.0,,22-01-2020,South Ryan,tara_rodriguez@example.com,0
191,Jesse Perez,24.0,,29-03-2022,Andersonchester,jesse_perez@example.com,0
192,Phyllis Phillips,42.0,,13-12-2021,Morenoton,phyllis_phillips@example.com,0
193,Rachel Ramirez,58.0,,29-12-2015,North Katherine,rachel_ramirez@example.com,0
194,Benjamin Ray,,,19-10-2020,East Danielmouth,benjamin_ray@@gmail.com,0
195,Kelly Taylor,36.0,,06-05-2016,Padillaburgh,kelly_taylor@example.com,0
196,Deborah Wolf,36.0,,07-04-2016,Amandafort,deborah_wolf@example.com,0
197,Julia Porter,25.0,,20-06-2015,East Christopher,julia_porter@example.com,1
198,Wanda Cowan,54.0,,22-06-2015,West Williamland,wanda_cowan@example.com,0
199,Vanessa Perry,32.0,,30-05-2017,Lopezfort,vanessa_perry@@gmail.com,0
200,Stephen Thomas,22.0,,29-02-2016,Hintonmouth,stephen_thomas@example.com,0
201,David Schmidt,28.0,,21-02-2018,South Malloryland,david_schmidt@example.com,1
202,Regina Trevino,43.0,,18-05-2021,Meganmouth,regina_trevino@example.com,0
203,Ronald Hernandez,55.0,,18-09-2017,Jesseland,ronald_hernandez@example.com,0
204,Lisa Perez,57.0,,01-04-2020,Marcstad,lisa_perez@example.com,0
205,James Hall,30.0,,11-01-2016,East Dawnside,james_hall@example.com,0
206,Andrew Hardin,53.0,,01-04-2017,Port Jessica,andrew_hardin@example.com,0
207,Andrew Turner,29.0,,04-05-2022,New Brittanyland,andrew_turner@example.com,1
208,Jonathon Carroll,47.0,,11-09-2022,Mitchellbury,jonathon_carroll@example.com,1
209,Randall Lopez,60.0,,10-01-2017,West Kimberlyfurt,randall_lopez@example.com,0
210,Amber Hall,46.0,,05-10-2021,Janicechester,amber_hall@example.com,1
211,Matthew Martinez,29.0,,24-12-2016,Lake Philip,matthew_martinez@example.com,0
212,Emily Spencer,37.0,,20-08-2019,East Jacobville,emily_spencer@example.com,1
213,Sarah Castro,36.0,,17-01-2018,Robertland,sarah_castro@example.com,0
214,Kimberly Figueroa,22.0,,13-06-2017,New Amandachester,kimberly_figueroa@example.com,1
215,Austin Garcia,34.0,,05-12-2021,Jasonville,austin_garcia@example.com,1
216,Carrie Vaughn,32.0,,29-11-2021,Jessicaland,carrie_vaughn@example.com,0
217,Jill Arnold,,,07-10-2019,New Ashley,jill_arnold@example.com,1
218,Patrick Allen,40.0,,09-02-2024,Michelleton,patrick_allen@example.com,0
219,Terri Hill,31.0,,15-11-2020,Rollinsbury,terri_hill@example.com,1
220,nan,25.0,,08-03-2020,Jimenezfort,unknown@example.com,0
221,Cassandra Larsen,21.0,,08-04-2017,Cohenville,cassandra_larsen@example.com,1
222,Jennifer Johnson,23.0,,04-01-2025,Snydertown,jennifer_johnson@example.com,1
223,David Small,41.0,,22-01-2023,South Cynthiamouth,david_small@example.com,0
224,Melissa Murphy,58.0,,19-07-2020,North Williamhaven,melissa_murphy@example.com,0
225,Tim Howard,21.0,,15-10-2021,South Keith,tim_howard@example.com,1
226,Randy Grant,23.0,,26-12-2024,Lake Kimberlyberg,randy_grant@example.com,0
227,Chelsea Hurst,32.0,,12-07-2021,New Michaelmouth,chelsea_hurst@example.com,1
228,Debra Myers,41.0,,18-04-2021,South Diamond,debra_myers@example.com,0
229,Kyle Cox,45.0,,18-02-2023,Melissatown,kyle_cox@example.com,1
230,Jason Cervantes DDS,52.0,,09-09-2024,South Sarah,jason_cervantes_dds@example.com,1
231,Patrick Sanders,22.0,,29-06-2015,Jacksonport,patrick_sanders@example.com,0
232,Matthew Lee,31.0,,16-01-2016,Comptonchester,matthew_lee@example.com,1
233,Linda Kirby,50.0,,15-12-2020,Taylorside,linda_kirby@example.com,1
234,John Hansen,40.0,,25-02-2023,Munozville,john_hansen@@gmail.com,0
235,Jacqueline Robertson,44.0,,01-11-2019,Port Belinda,jacqueline_robertson@example.com,0
236,Jesse Adams,57.0,,25-03-2022,New Kristitown,jesse_adams@example.com,1
237,Cheryl Nicholson,30.0,,29-04-2021,Kellybury,cheryl_nicholson@example.com,0
238,Cynthia Espinoza,49.0,,18-07-2023,Garciaborough,cynthia_espinoza@example.com,0
239,Shelley Thompson,,,17-01-2021,Knightland,shelley_thompson@example.com,1
240,Sarah Wagner,43.0,,28-06-2023,New Lisaberg,sarah_wagner@example.com,1
241,Sharon Ward,48.0,,11-01-2022,Brandonfort,sharon_ward@example.com,1
242,Alexis Brooks,37.0,,02-06-2020,Lake Rachelview,alexis_brooks@example.com,0
243,Natalie Powell,48.0,,29-07-2017,Port Michaelside,natalie_powell@example.com,1
244,nan,42.0,,02-03-2024,Danielleberg,unknown@example.com,0
245,nan,56.0,,26-12-2018,South Patrick,unknown@example.com,1
246,Eric Barrett,41.0,,04-05-2018,West Johnland,eric_barrett@example.com,1
247,Debbie Tapia,22.0,,14-08-2015,West Janetfort,debbie_tapia@example.com,0
248,Pamela Zuniga,54.0,,25-05-2021,Lake Sarah,pamela_zuniga@example.com,1
249,Peter Oliver,30.0,,29-10-2016,New Nicole,peter_oliver@example.com,0
250,Terri Ramsey,57.0,,31-10-2015,Marisafurt,terri_ramsey@example.com,1
251,Kenneth Mendez,44.0,,01-10-2020,Riverachester,kenneth_mendez@example.com,1
252,Tanya Villanueva,32.0,,30-05-2017,Jeffreyborough,tanya_villanueva@example.com,1
253,Wanda Church,31.0,,06-07-2021,Rodriguezton,wanda_church@example.com,1
254,Hannah Morales,,,26-03-2019,Jasonborough,hannah_morales@example.com,1
255,Cassandra Clayton,53.0,,08-08-2022,Hayesfurt,cassandra_clayton@example.com,1
256,James Foley,27.0,,01-09-2024,Lake Wesleystad,james_foley@example.com,1
257,Chad Hunter,33.0,,31-03-2023,Hardytown,chad_hunter@example.com,1
258,Lisa Boyer,50.0,,22-07-2016,Wolfemouth,lisa_boyer@example.com,1
259,Stephanie Diaz,55.0,,27-01-2018,North Eric,stephanie_diaz@example.com,0
260,Nicholas Chen,39.0,,24-07-2021,Youngview,nicholas_chen@example.com,0
261,John Mayo,37.0,,26-05-2017,Elizabethstad,john_mayo@example.com,0
262,Angela Marshall,44.0,,16-01-2019,New Melissaport,angela_marshall@example.com,0
263,Sandra Moore,37.0,,29-05-2020,Millerville,sandra_moore@@gmail.com,1
264,Alexander Smith,23.0,,26-03-2023,Danielsport,alexander_smith@example.com,0
265,Dean Robinson,35.0,,02-03-2020,New Joseph,dean_robinson@example.com,0
266,Samantha Hall,21.0,,20-07-2022,East Davidhaven,samantha_hall@example.com,0
267,Kevin Turner,22.0,,16-04-2022,Davidland,kevin_turner@example.com,1
268,Richard Castillo,,,03-11-2021,Lynchchester,richard_castillo@example.com,1
269,Heather Patton,30.0,,19-01-2021,South Nicholasmouth,heather_patton@example.com,1
270,Brandon Mercado,43.0,,13-03-2022,Joshuafurt,brandon_mercado@example.com,0
271,Casey Fritz,21.0,,15-12-2022,New Saraberg,casey_fritz@example.com,1
272,Marie Fernandez,34.0,,07-01-2019,New Lorifurt,marie_fernandez@example.com,1
273,Kim Vaughn,37.0,,25-02-2019,Cochrantown,kim_vaughn@example.com,1
274,Jacqueline Day,52.0,,25-02-2019,Yvetteberg,jacqueline_day@example.com,0
275,Gregory Meyer,49.0,,27-01-2021,Sarahfurt,gregory_meyer@example.com,0
276,Alyssa Bruce,45.0,,13-06-2022,Marshallmouth,alyssa_bruce@example.com,1
277,Joshua Ramos,54.0,,24-03-2018,Rebeccaview,joshua_ramos@example.com,1
278,Thomas Lee,35.0,,03-01-2022,Meganfurt,thomas_lee@example.com,0
279,John Benjamin,41.0,,22-03-2017,Lake Jeremiah,john_benjamin@example.com,1
280,David Roberts,35.0,,12-12-2021,West Jeremystad,david_roberts@example.com,0
281,Christian Flores,27.0,,07-06-2018,South Kimberly,christian_flores@example.com,0
282,Alexander Burch,51.0,,01-12-2021,Laurenland,alexander_burch@example.com,1
283,Desiree Ward,,,19-06-2024,Evansland,desiree_ward@example.com,1
284,Daniel Thomas,,,23-05-2022,Christopherbury,daniel_thomas@@gmail.com,1
285,Thomas Thompson,57.0,,18-04-2017,Andreport,thomas_thompson@example.com,1
286,Amy Hughes,34.0,,04-09-2015,East Alvin,amy_hughes@@gmail.com,1
287,Amanda Adams,26.0,,05-10-2021,Elliottmouth,amanda_adams@@gmail.com,0
288,Shirley Smith,36.0,,27-12-2022,Torresmouth,shirley_smith@example.com,1
289,Chad Wood,20.0,,29-06-2018,Michelleburgh,chad_wood@example.com,1
290,Donna Johnston,31.0,,13-10-2022,South Alexaside,donna_johnston@example.com,0
291,Stephanie Lewis,33.0,,09-08-2019,South Abigail,stephanie_lewis@example.com,0
292,Amanda Cooper,29.0,,28-11-2021,South Anne,amanda_cooper@example.com,1
293,Heather Johnson,58.0,,09-10-2017,Englishburgh,heather_johnson@example.com,0
294,Tonya King,56.0,,27-08-2017,Sharpburgh,tonya_king@example.com,1
295,Brian Kim,53.0,,29-05-2016,Lake Matthew,brian_kim@example.com,1
296,Matthew Anderson,27.0,,30-06-2017,Richmondport,matthew_anderson@example.com,0
297,Norma Gomez,48.0,,18-11-2020,Alexisfort,norma_gomez@example.com,0
298,Ruben Cunningham,34.0,,04-07-2023,Wayneland,ruben_cunningham@example.com,1
299,Lisa Jones,,,02-10-2021,Teresaland,lisa_jones@example.com,1
300,Elizabeth Velasquez,21.0,,21-09-2024,New Sarahport,elizabeth_velasquez@example.com,1
301,Michael Gill,49.0,,21-05-2020,New Lindatown,michael_gill@example.com,0
302,Travis Jones,,,09-01-2023,Port Cassiechester,travis_jones@example.com,1
303,Brenda Wright,45.0,,03-01-2017,Hensleyhaven,brenda_wright@example.com,0
304,Jose Love,25.0,,27-07-2016,Port Tracy,jose_love@example.com,1
305,Stephanie Morgan,47.0,,24-06-2022,North Joanna,stephanie_morgan@example.com,1
306,nan,46.0,,12-09-2022,New Jenniferside,unknown@example.com,1
307,Molly Coffey,57.0,,14-12-2018,Port Kimberlyborough,molly_coffey@example.com,1
308,Zachary Ingram,38.0,,30-07-2020,Lake Stephenbury,zachary_ingram@example.com,0
309,Rebecca Miller,39.0,,15-01-2024,Gibsonport,rebecca_miller@example.com,0
310,Tiffany Harrison,24.0,,26-07-2022,West Valerie,tiffany_harrison@example.com,0
311,Heather Cooper,29.0,,23-03-2024,Lake Stacey,heather_cooper@example.com,1
312,David Jackson,50.0,,21-03-2023,Lake Charles,david_jackson@example.com,1
313,Denise Cook,54.0,,15-04-2015,North James,denise_cook@example.com,0
314,Terri Williams,50.0,,24-02-2019,New Richardfurt,terri_williams@example.com,0
315,Carlos Bailey,32.0,,19-06-2019,New Saraville,carlos_bailey@example.com,1
316,Jason Williams,,,25-01-2016,Aaronport,jason_williams@example.com,0
317,Jeffrey Willis,43.0,,30-07-2016,Deborahville,jeffrey_willis@example.com,0
318,Jennifer Fisher,21.0,,08-05-2019,Lorihaven,jennifer_fisher@example.com,1
319,Erica Johnson,24.0,,15-09-2024,Alisonfurt,erica_johnson@example.com,0
320,Lindsey Carlson,41.0,,07-01-2021,Crystalstad,lindsey_carlson@example.com,1
321,Lindsey Sosa,38.0,,27-05-2023,Shawnfurt,lindsey_sosa@example.com,0
322,Jaime Collins,60.0,,29-02-2016,Lake Cody,jaime_collins@example.com,0
323,Jeff Knight,54.0,,11-04-2023,Jesusbury,jeff_knight@example.com,0
324,Kim Thompson,24.0,,28-01-2017,Shannonport,kim_thompson@example.com,0
325,nan,51.0,,14-02-2023,Williamsland,unknown@@gmail.com,0
326,Christine Patel,35.0,,25-05-2016,South Johnny,christine_patel@example.com,1
327,Michael Blair,26.0,,02-08-2015,South Emilyland,michael_blair@@gmail.com,0
328,Kari Mcdaniel,36.0,,14-10-2023,Port Jakeburgh,kari_mcdaniel@example.com,0
329,Ashley Harris,20.0,,06-12-2019,Brownshire,ashley_harris@example.com,1
330,Robin Phillips,23.0,,28-12-2015,Rileyshire,robin_phillips@example.com,1
331,nan,,,01-07-2019,East Clinton,unknown@example.com,1
332,Lauren Cruz,,,20-04-2018,Shieldschester,lauren_cruz@example.com,1
333,Amanda Rogers,,,15-06-2020,Elizabethburgh,amanda_rogers@example.com,1
334,nan,,,27-04-2024,Derrickshire,unknown@example.com,1
335,Matthew Sweeney,59.0,,14-05-2016,Alvarezshire,matthew_sweeney@example.com,1
336,Andrea Gonzalez,34.0,,07-05-2021,Figueroatown,andrea_gonzalez@example.com,1
337,Cameron Hall,27.0,,31-10-2017,East Ericland,cameron_hall@example.com,0
338,Linda Hernandez,50.0,,25-12-2015,South Stephanie,linda_hernandez@example.com,0
339,Lisa Reese,27.0,,08-12-2024,Debraberg,lisa_reese@example.com,1
340,Christopher Mayo,55.0,,19-11-2015,East Danport,christopher_mayo@example.com,0
341,David Avery,35.0,,13-09-2017,East Maryton,david_avery@example.com,0
342,nan,22.0,,18-10-2015,Port Petertown,unknown@example.com,1
343,Linda Walker,60.0,,20-06-2020,Lake Morganview,linda_walker@example.com,0
344,Denise Francis,40.0,,10-02-2023,Weavermouth,denise_francis@example.com,0
345,Tammy Smith,30.0,,17-04-2020,West Jeffrey,tammy_smith@example.com,0
346,Vickie Strong,34.0,,18-11-2023,East Pamelafurt,vickie_strong@example.com,1
347,Robin Wright,56.0,,31-10-2020,Pottershire,robin_wright@example.com,1
348,Elizabeth Gutierrez,27.0,,27-12-2017,Robertville,elizabeth_gutierrez@example.com,1
349,Sharon Miller,26.0,,13-06-2021,Lake Kim,sharon_miller@example.com,0
350,nan,37.0,,14-03-2024,Emilyville,unknown@example.com,0
351,Shirley Jordan,20.0,,31-10-2024,Lake Francesberg,shirley_jordan@example.com,0
352,Jason Harrison,41.0,,04-05-2023,Hansenberg,jason_harrison@example.com,1
353,Robert Fisher,58.0,,14-06-2019,Ryanborough,robert_fisher@example.com,0
354,Andrea Harris,48.0,,29-06-2021,South Kevin,andrea_harris@example.com,0
355,Mitchell Clayton,46.0,,18-03-2021,South Debbie,mitchell_clayton@example.com,1
356,Samantha Pierce,57.0,,04-09-2018,Stephaniestad,samantha_pierce@example.com,1
357,Ariel Dominguez,53.0,,23-07-2021,Lake Sonia,ariel_dominguez@example.com,0
358,Michael Lamb,43.0,,29-11-2018,Lake Carlosburgh,michael_lamb@example.com,0
359,Jason Swanson,60.0,,08-01-2022,Rebeccaland,jason_swanson@example.com,0
360,Kevin Hunter,,,01-10-2020,Nicholasberg,kevin_hunter@example.com,1
361,Jo Boyd,51.0,,20-11-2015,Coxland,jo_boyd@example.com,0
362,Nicole Payne,57.0,,14-01-2021,Parrishport,nicole_payne@example.com,1
363,Jodi Ingram,56.0,,15-10-2020,Matthewmouth,jodi_ingram@example.com,1
364,Manuel Thompson,20.0,,24-07-2015,New Chelsea,manuel_thompson@example.com,1
365,Teresa Leach,31.0,,27-02-2018,West Matthewmouth,teresa_leach@example.com,1
366,Mr. Cody Moore,38.0,,17-07-2022,North Curtis,mr._cody_moore@example.com,0
367,Patrick Norris,55.0,,12-06-2024,South Veronicaland,patrick_norris@example.com,1
368,Eugene Lawson,58.0,,26-06-2021,New Michelle,eugene_lawson@example.com,0
369,Carl Bailey MD,43.0,,25-11-2022,East Davidfurt,carl_bailey_md@example.com,1
370,Brady Sullivan,21.0,,14-03-2015,Sergioland,brady_sullivan@example.com,1
371,Patrick Stewart,38.0,,10-05-2023,Nelsonfort,patrick_stewart@example.com,1
372,Audrey Erickson,22.0,,27-04-2024,Parkerchester,audrey_erickson@example.com,0
373,Kendra Cherry,56.0,,14-05-2024,Jacobside,kendra_cherry@example.com,1
374,Katelyn Johnson,42.0,,21-12-2023,North Corey,katelyn_johnson@example.com,1
375,Michael Donovan,41.0,,24-10-2017,North Logan,michael_donovan@example.com,1
376,Kathryn Mueller,41.0,,07-02-2020,East Taylor,kathryn_mueller@example.com,1
377,Jon Fox,31.0,,07-07-2017,New Danielshire,jon_fox@example.com,0
378,Timothy Lloyd,49.0,,10-06-2018,Campbellchester,timothy_lloyd@example.com,0
379,nan,59.0,,19-08-2016,Hernandezberg,unknown@example.com,1
380,Sonya Patton,35.0,,09-04-2016,Port Bryan,sonya_patton@example.com,0
381,Dominique Berry,28.0,,21-09-2015,Zacharybury,dominique_berry@example.com,1
382,John Strong,56.0,,05-10-2024,Dixonburgh,john_strong@@gmail.com,0
383,Meghan Hess,44.0,,24-06-2023,East Elizabethhaven,meghan_hess@example.com,0
384,Jason Bridges,26.0,,22-06-2023,Lake Anthony,jason_bridges@example.com,1
385,Kevin Thomas,21.0,,10-01-2025,East Alexandertown,kevin_thomas@example.com,1
386,Robert Butler,24.0,,26-07-2017,East Amanda,robert_butler@example.com,1
387,Joseph Graham,23.0,,31-07-2015,Kruegerland,joseph_graham@example.com,0
388,Christopher Aguilar,25.0,,28-05-2019,Grahamhaven,christopher_aguilar@example.com,1
389,Leah Cook,28.0,,18-07-2024,Lake Jessicaberg,leah_cook@example.com,0
390,Amanda Robinson,33.0,,10-03-2018,East Jamesfurt,amanda_robinson@example.com,1
391,Gregory Mcbride,41.0,,12-02-2019,Wigginsville,gregory_mcbride@example.com,0
392,Christina Fernandez,53.0,,28-02-2016,Paulton,christina_fernandez@example.com,0
393,Kyle Eaton,,,27-12-2020,Hodgefurt,kyle_eaton@example.com,0
394,Doris Haas,27.0,,30-08-2021,New Michael,doris_haas@example.com,0
395,Anna Richardson,20.0,,09-09-2024,Jasonborough,anna_richardson@example.com,0
396,James Hardy,,,26-10-2016,New Davidport,james_hardy@example.com,1
397,Sarah Green,52.0,,22-04-2020,South Debraburgh,sarah_green@example.com,0
398,Stacy King,,,04-01-2023,West Carolynside,stacy_king@example.com,0
399,Melissa Quinn,,,05-06-2019,Andersonport,melissa_quinn@example.com,1
400,Janet Berg,36.0,,20-10-2015,East Shawnchester,janet_berg@example.com,1
401,Dennis Miller,,,21-04-2023,South Brandi,dennis_miller@example.com,1
402,Thomas Freeman,26.0,,09-02-2023,Hollystad,thomas_freeman@example.com,0
403,Shawna Berry,29.0,,03-06-2018,Rosstown,shawna_berry@example.com,1
404,Dr. Rebecca Montoya DDS,34.0,,26-10-2024,Christineborough,dr._rebecca_montoya_dds@@gmail.com,1
405,Karen Kidd,46.0,,09-04-2018,South Laura,karen_kidd@example.com,1
406,nan,52.0,,06-01-2024,Port Cindychester,unknown@example.com,1
407,Robert Pena,35.0,,12-06-2018,Robertport,robert_pena@example.com,0
408,Julie Reynolds,32.0,,13-01-2021,North Adamfort,julie_reynolds@example.com,1
409,Austin Walton,26.0,,04-03-2017,Williamsfort,austin_walton@example.com,1
410,Seth Ballard,20.0,,06-07-2023,East Melissaland,seth_ballard@example.com,1
411,nan,50.0,,14-12-2023,North Dale,unknown@example.com,1
412,Rebecca Gallegos,49.0,,31-05-2017,East Sarafurt,rebecca_gallegos@example.com,1
413,Michelle Thomas,36.0,,26-10-2016,Simpsonville,michelle_thomas@example.com,0
414,Ashley Clark,52.0,,22-07-2024,Denisemouth,ashley_clark@example.com,1
415,Amanda Blevins,56.0,,27-04-2022,Robinview,amanda_blevins@example.com,0
416,Rachel Arnold,46.0,,15-05-2021,Rebeccafurt,rachel_arnold@example.com,0
417,Jeremy Daniel,40.0,,13-06-2022,Port Luisberg,jeremy_daniel@example.com,1
418,Erin Perry,35.0,,07-12-2019,Lake Deborah,erin_perry@example.com,1
419,Brittany Hudson,37.0,,04-05-2022,Lake Stephanie,brittany_hudson@example.com,0
420,Jessica Cooper,58.0,,29-09-2021,Kristenville,jessica_cooper@example.com,1
421,nan,25.0,,15-05-2023,East Richard,unknown@example.com,0
422,nan,37.0,,01-07-2018,New Clifford,unknown@example.com,1
423,Donna White,27.0,,22-10-2020,West Jamestown,donna_white@example.com,0
424,Dr. Michael Tucker,39.0,,11-07-2022,North Christophershire,dr._michael_tucker@example.com,1
425,Valerie Baker,37.0,,15-07-2021,Taylorhaven,valerie_baker@example.com,1
426,Madison Roberts,34.0,,22-09-2022,Adamsmouth,madison_roberts@example.com,0
427,Richard Rodriguez,42.0,,17-07-2017,Clarkport,richard_rodriguez@example.com,1
428,Katherine Gomez,42.0,,05-08-2024,East Christina,katherine_gomez@example.com,1
